Iteration	Posterior	Likelihood	Prior	correlations[1]	correlations[2]	correlations[3]	correlations[4]	correlations[5]	correlations[6]	correlations[7]	correlations[8]	correlations[9]	correlations[10]	correlations[11]	correlations[12]	correlations[13]	correlations[14]	correlations[15]	correlations[16]	correlations[17]	correlations[18]	correlations[19]	correlations[20]	correlations[21]	correlations[22]	correlations[23]	correlations[24]	correlations[25]	correlations[26]	correlations[27]	correlations[28]	correlations[29]	correlations[30]	correlations[31]	correlations[32]	correlations[33]	correlations[34]	correlations[35]	correlations[36]	proportional_rates[1]	proportional_rates[2]	proportional_rates[3]	proportional_rates[4]	proportional_rates[5]	proportional_rates[6]	proportional_rates[7]	proportional_rates[8]	proportional_rates[9]	relative_rates[1]	relative_rates[2]	relative_rates[3]	relative_rates[4]	relative_rates[5]	relative_rates[6]	relative_rates[7]	relative_rates[8]	relative_rates[9]	sigma2
0	79.91035	67.96803	11.94232	0.270563	-0.0961344	0.656484	0.411542	0.313845	0.0512047	0.311637	0.740371	0.697123	0.0911188	0.347563	0.775579	0.381685	0.125767	0.545419	-0.277121	0.250563	0.669986	0.373277	-0.0381923	0.349211	0.263031	0.0740747	-0.365257	0.0500477	0.244153	0.640862	0.424384	0.160555	0.6578	0.698396	-0.105127	0.740738	-0.352339	0.541746	0.192932	0.0608645	0.0594673	0.117875	0.233337	0.0275156	0.035341	0.16012	0.263587	0.0418929	0.547781	0.535205	1.06088	2.10003	0.247641	0.318069	1.44108	2.37228	0.377036	0.3859276
10	81.66579	69.79272	11.87307	0.278728	-0.0948989	0.656471	0.421349	0.313409	0.0613315	0.32811	0.702911	0.719134	0.074195	0.363969	0.781934	0.373013	0.144783	0.508441	-0.26731	0.2425	0.688744	0.355639	-0.0609737	0.361962	0.253124	0.0420273	-0.371478	0.055527	0.203702	0.651621	0.439685	0.170399	0.683085	0.681433	-0.0872395	0.754231	-0.352234	0.55081	0.198396	0.0521257	0.058694	0.116343	0.279898	0.0248725	0.0338903	0.158038	0.242003	0.0341362	0.469131	0.528246	1.04708	2.51908	0.223852	0.305013	1.42234	2.17803	0.307226	0.4136022
20	80.94127	69.08063	11.86064	0.244066	-0.0546423	0.67121	0.443566	0.3099	0.0583534	0.332482	0.706003	0.674686	0.0882398	0.341339	0.774533	0.388693	0.172163	0.500261	-0.263892	0.254568	0.676223	0.351976	-0.0794696	0.351175	0.235479	0.0821274	-0.341444	0.0511542	0.183256	0.649164	0.43758	0.168871	0.711271	0.701276	-0.114186	0.743335	-0.350075	0.60183	0.19628	0.0481156	0.0541786	0.107392	0.267687	0.022959	0.0312831	0.14588	0.290995	0.0315101	0.433041	0.487608	0.96653	2.40918	0.206631	0.281548	1.31292	2.61895	0.283591	0.4187733
30	83.09771	71.21802	11.87968	0.250248	-0.0944974	0.683684	0.456783	0.304305	0.0570821	0.357933	0.71396	0.668868	0.103466	0.322213	0.773795	0.388396	0.149643	0.511708	-0.253706	0.209923	0.686768	0.370427	-0.0815354	0.357744	0.239658	0.0815916	-0.360843	0.0614031	0.191627	0.607453	0.434345	0.167969	0.707353	0.687256	-0.148316	0.75239	-0.35538	0.598287	0.198585	0.0540687	0.0589414	0.116833	0.291219	0.0241455	0.0340332	0.127895	0.258584	0.0342801	0.486619	0.530472	1.0515	2.62097	0.21731	0.306298	1.15106	2.32726	0.308521	0.4108742
40	76.02558	64.16024	11.86534	0.242364	-0.0960361	0.682073	0.474989	0.283596	0.0544936	0.346231	0.690704	0.651273	0.115768	0.338074	0.763153	0.411948	0.145386	0.50743	-0.245614	0.175938	0.667073	0.391359	-0.0641587	0.360077	0.233659	0.0682217	-0.361714	0.0601666	0.187541	0.596436	0.384501	0.150367	0.677471	0.690184	-0.138634	0.726671	-0.371328	0.563121	0.19441	0.0521123	0.0491484	0.0898385	0.31864	0.0321611	0.0346555	0.127254	0.26152	0.0346693	0.46901	0.442335	0.808547	2.86776	0.28945	0.3119	1.14529	2.35368	0.312024	0.4168096
50	76.18509	64.24812	11.93696	0.23945	-0.078621	0.672545	0.487242	0.308844	0.0744463	0.35183	0.694809	0.696937	0.0944842	0.321051	0.799949	0.405187	0.137946	0.506637	-0.240083	0.194992	0.686779	0.371894	-0.0362389	0.392022	0.267161	0.084432	-0.365874	0.0489948	0.161504	0.583871	0.433138	0.0988029	0.627882	0.679239	-0.138467	0.729054	-0.354169	0.577264	0.189539	0.053164	0.0513793	0.0939165	0.333104	0.0332352	0.0359148	0.133031	0.230012	0.036243	0.478476	0.462414	0.845248	2.99794	0.299117	0.323233	1.19728	2.07011	0.326187	0.3880004
60	77.93184	65.96343	11.9684	0.239131	-0.00946344	0.674626	0.477187	0.311691	0.0603122	0.340596	0.697603	0.728124	0.0959883	0.347052	0.788135	0.399488	0.120115	0.53941	-0.23502	0.215459	0.706619	0.381149	0.0191321	0.415895	0.266975	0.0881244	-0.358176	0.0416182	0.162644	0.565404	0.435061	0.108379	0.630414	0.684292	-0.140299	0.728243	-0.357076	0.574814	0.180428	0.0580916	0.0511988	0.111465	0.325521	0.0200521	0.0357886	0.132563	0.229204	0.0361157	0.522824	0.460789	1.00318	2.92969	0.180469	0.322098	1.19307	2.06284	0.325041	0.3759913
70	77.93388	66.19829	11.7356	0.245892	-0.0615035	0.67487	0.5117	0.293627	0.0490729	0.367187	0.696738	0.721127	0.0894403	0.318524	0.774577	0.459567	0.111572	0.506616	-0.233343	0.190902	0.705948	0.378947	0.0200297	0.422406	0.270366	0.0844782	-0.349931	0.0254631	0.171626	0.570061	0.448205	0.0606273	0.658704	0.684053	-0.111508	0.745538	-0.359262	0.560486	0.220512	0.0536468	0.0472814	0.0950338	0.33705	0.0188766	0.0330503	0.12242	0.259288	0.0333524	0.482821	0.425533	0.855304	3.03345	0.169889	0.297453	1.10178	2.33359	0.300171	0.4745528
80	76.60682	64.62487	11.98195	0.195224	-0.0656653	0.660929	0.503843	0.293082	0.0615568	0.375131	0.690254	0.708688	0.103755	0.325197	0.763937	0.436375	0.114211	0.499486	-0.236023	0.148101	0.700858	0.366735	0.000606998	0.420005	0.286867	0.081631	-0.330595	0.037362	0.175785	0.572219	0.448493	0.0637987	0.743255	0.677586	-0.133364	0.747321	-0.345734	0.578951	0.221817	0.0568393	0.0633878	0.108323	0.251113	0.0222509	0.037672	0.150074	0.272323	0.0380163	0.511554	0.57049	0.974909	2.26002	0.200258	0.339048	1.35067	2.45091	0.342147	0.3709312
90	75.04624	63.05023	11.996	0.203826	-0.0474395	0.643799	0.490843	0.279154	0.0377064	0.405102	0.680316	0.714278	0.0757613	0.307	0.754078	0.439292	0.109009	0.517956	-0.246037	0.139409	0.732944	0.378852	-0.0283097	0.405687	0.276713	0.0745958	-0.30184	0.032327	0.153391	0.601354	0.464069	0.0752011	0.699575	0.700333	-0.123658	0.746587	-0.361432	0.597088	0.186132	0.0568018	0.0633459	0.0942205	0.268404	0.0222362	0.036749	0.149975	0.272143	0.0361246	0.511216	0.570113	0.847984	2.41563	0.200126	0.330741	1.34978	2.44929	0.325122	0.3657564
