Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
0	0	-64.5529	-69.13856	4.585663	0.003398995
1	1	-64.4042	-68.88203	4.477834	0.003785994
2	0	-64.55705	-69.1433	4.586247	0.00339701
3	1	-64.80024	-69.22062	4.420384	0.004009872
4	0	-64.32917	-68.86204	4.532873	0.00358325
5	1	-64.31979	-68.8424	4.522613	0.003620203
6	0	-65.02762	-69.66181	4.63419	0.00323799
7	1	-65.07019	-69.4655	4.395314	0.004111668
8	0	-64.49476	-69.07162	4.576853	0.003429072
9	1	-64.95239	-69.5804	4.62801	0.003258062
10	0	-65.66793	-70.02006	4.352129	0.004293121
11	1	-65.10183	-69.49451	4.392685	0.004122494
12	0	-64.38925	-68.9449	4.555648	0.003502565
13	1	-64.33118	-68.86537	4.534197	0.003578507
14	0	-64.50663	-68.96439	4.457756	0.003862778
15	1	-64.32703	-68.83341	4.506377	0.003679459
16	0	-64.35462	-68.89971	4.54509	0.003539738
17	1	-64.93842	-69.3453	4.406886	0.004064362
18	0	-64.36105	-68.85116	4.490112	0.003739796
19	1	-64.33753	-68.83736	4.499829	0.003703632
20	0	-64.61416	-69.20797	4.593802	0.003371444
21	1	-64.41637	-68.97849	4.562126	0.003479947
22	0	-65.21382	-69.59758	4.383763	0.004159437
23	1	-64.52714	-68.9816	4.454468	0.0038755
24	0	-64.63255	-69.07218	4.439626	0.00393345
25	1	-64.9602	-69.58887	4.628669	0.003255917
26	0	-64.33854	-68.83786	4.499312	0.003705546
27	1	-65.81325	-70.49814	4.684892	0.00307791
28	0	-64.32827	-68.83371	4.505438	0.003682915
29	1	-64.61129	-69.05369	4.442396	0.003922571
30	0	-64.32484	-68.83308	4.508242	0.003672605
31	1	-64.33636	-68.83681	4.500445	0.003701353
32	0	-64.41424	-68.8897	4.475465	0.003794977
33	1	-64.77232	-69.19565	4.423329	0.003998077
34	0	-64.48352	-68.9452	4.461683	0.003847639
35	1	-64.49325	-68.95325	4.46	0.003854123
36	0	-64.34444	-68.84097	4.496539	0.003715837
37	1	-64.3193	-68.83607	4.516776	0.003641397
38	0	-64.44653	-69.01485	4.568327	0.003458435
39	1	-64.69254	-69.29557	4.603036	0.003340455
40	0	-65.55743	-69.91672	4.35929	0.004262488
41	1	-64.56222	-69.14919	4.586967	0.003394567
42	0	-64.32683	-68.83337	4.50654	0.003678859
43	1	-64.32222	-68.84892	4.526698	0.003605445
44	0	-64.3673	-68.91668	4.549388	0.003524558
45	1	-64.76018	-69.37042	4.610231	0.003316508
46	0	-66.07195	-70.4	4.328049	0.004397753
47	1	-64.3306	-68.83443	4.503831	0.003688841
48	0	-64.42946	-68.90156	4.472096	0.003807782
49	1	-65.23897	-69.88889	4.649917	0.003187464
50	0	-66.73715	-71.03065	4.293498	0.004552358
51	1	-64.56461	-69.1519	4.587296	0.00339345
52	0	-64.34849	-68.8433	4.494815	0.003722247
53	1	-64.39069	-68.94671	4.55602	0.003501261
54	0	-65.16591	-69.55342	4.38751	0.004143881
55	1	-64.34831	-68.8432	4.494888	0.003721979
56	0	-64.33976	-68.87865	4.538894	0.003561741
57	1	-65.1308	-69.52112	4.390321	0.004132249
58	0	-64.44971	-68.91766	4.467952	0.003823595
59	1	-64.42299	-68.89649	4.473498	0.003802448
60	0	-64.52181	-68.97711	4.455307	0.003872251
61	1	-64.41443	-68.88985	4.47542	0.003795146
62	0	-64.64314	-69.08142	4.438282	0.00393874
63	1	-64.37498	-68.86064	4.485657	0.003756495
64	0	-64.3694	-68.91945	4.550045	0.003522244
65	1	-64.37888	-68.86339	4.484513	0.003760795
66	0	-64.47463	-69.04809	4.57346	0.003440726
67	1	-64.3716	-68.85828	4.486682	0.003752645
68	0	-65.33078	-69.70578	4.374999	0.004196053
69	1	-64.39993	-68.95826	4.558328	0.003493189
70	0	-65.6586	-70.01132	4.352723	0.004290573
71	1	-66.8022	-71.5334	4.731198	0.002938635
72	0	-65.05999	-69.69673	4.636743	0.003229733
73	1	-65.06536	-69.46108	4.39572	0.004109999
74	0	-65.09757	-69.4906	4.393036	0.004121046
75	1	-64.43013	-68.99519	4.565061	0.003469748
76	0	-64.46461	-68.92972	4.465101	0.003834512
77	1	-64.59062	-69.03581	4.445183	0.003911652
78	0	-64.40225	-68.88056	4.478309	0.003784198
79	1	-64.42409	-68.89735	4.473258	0.003803362
80	0	-64.32123	-68.8336	4.512374	0.003657459
