Iteration	Posterior	Likelihood	Prior	sigma2
0	-64.5529	-69.13856	4.585663	0.003398995
10	-64.55705	-69.1433	4.586247	0.00339701
20	-64.32917	-68.86204	4.532873	0.00358325
30	-65.02762	-69.66181	4.63419	0.00323799
40	-64.49476	-69.07162	4.576853	0.003429072
50	-65.66793	-70.02006	4.352129	0.004293121
60	-64.38925	-68.9449	4.555648	0.003502565
70	-64.50663	-68.96439	4.457756	0.003862778
80	-64.35462	-68.89971	4.54509	0.003539738
90	-64.36105	-68.85116	4.490112	0.003739796
100	-64.61416	-69.20797	4.593802	0.003371444
110	-65.21382	-69.59758	4.383763	0.004159437
120	-64.63255	-69.07218	4.439626	0.00393345
130	-64.33854	-68.83786	4.499312	0.003705546
140	-64.32827	-68.83371	4.505438	0.003682915
150	-64.32484	-68.83308	4.508242	0.003672605
160	-64.41424	-68.8897	4.475465	0.003794977
170	-64.48352	-68.9452	4.461683	0.003847639
180	-64.34444	-68.84097	4.496539	0.003715837
190	-64.44653	-69.01485	4.568327	0.003458435
200	-65.55743	-69.91672	4.35929	0.004262488
210	-64.32683	-68.83337	4.50654	0.003678859
220	-64.3673	-68.91668	4.549388	0.003524558
230	-66.07195	-70.4	4.328049	0.004397753
240	-64.42946	-68.90156	4.472096	0.003807782
250	-66.73715	-71.03065	4.293498	0.004552358
260	-64.34849	-68.8433	4.494815	0.003722247
270	-65.16591	-69.55342	4.38751	0.004143881
280	-64.33976	-68.87865	4.538894	0.003561741
290	-64.44971	-68.91766	4.467952	0.003823595
300	-64.52181	-68.97711	4.455307	0.003872251
310	-64.64314	-69.08142	4.438282	0.00393874
320	-64.3694	-68.91945	4.550045	0.003522244
330	-64.47463	-69.04809	4.57346	0.003440726
340	-65.33078	-69.70578	4.374999	0.004196053
350	-65.6586	-70.01132	4.352723	0.004290573
360	-65.05999	-69.69673	4.636743	0.003229733
370	-65.09757	-69.4906	4.393036	0.004121046
380	-64.46461	-68.92972	4.465101	0.003834512
